domain,_original_idx,TEXT,text_length,word_count,elongation,ironie,insulte,mépris / haine,argot,abréviation,interjection,ROLE,HATE,TARGET,VERBAL_ABUSE,INTENTION,CONTEXT,SENTIMENT,Colère,Dégoût,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilité,Embarras,Fierté,Jalousie,Autre,pred_Colère,pred_Dégoût,pred_Joie,pred_Peur,pred_Surprise,pred_Tristesse,pred_Admiration,pred_Culpabilité,pred_Embarras,pred_Fierté,pred_Jalousie,pred_Autre,proba_Colère,proba_Dégoût,proba_Joie,proba_Peur,proba_Surprise,proba_Tristesse,proba_Admiration,proba_Culpabilité,proba_Embarras,proba_Fierté,proba_Jalousie,proba_Autre,err_Colère,err_Dégoût,err_Joie,err_Peur,err_Surprise,err_Tristesse,err_Admiration,err_Culpabilité,err_Embarras,err_Fierté,err_Jalousie,err_Autre,n_errors_12,hamming_12,jaccard_error_12,weighted_hamming_12,error_category,emotion_density_12,mode_density_4,label_density_19
Homophobie,11,grave abuser vous me degoutez,29,5,0,0,0,1,1,0,0,bully_support,OAG,victim,DNG,AIN,ATK,NEG,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.79546696,0.049256716,0.00053089095,0.0075988043,0.00050817465,0.041859467,0.00032703666,0.008945755,0.26554498,0.003170435,0.0011802028,0.17330487,FP,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.16666666666666666,1.0,0.015436912323730892,medium_error,1,1,4
Homophobie,12,putain mais laissez nous tranquille jvous dis qu'on est pas ensemble point,74,12,0,0,0,0,1,0,1,victim,NAG,,,CNS,ATK,NEG,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.99103874,0.006152403,0.0011900772,0.00056280027,0.0013996703,0.00047783196,3.778119e-05,0.0002829905,0.00085689133,0.00022563503,8.825653e-05,0.008673771,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,1,1,4
Homophobie,13,mais assume grosse pute,23,4,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,ATK,CNS,NEG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.423087e-05,1.6255893e-06,1.0642347e-05,1.4017901e-05,3.0282881e-05,1.0350089e-05,4.8333936e-06,3.748557e-07,2.5509948e-07,1.2981324e-06,5.337395e-08,2.0995167e-05,FN,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.16666666666666666,1.0,0.015436912323730892,medium_error,2,1,5
Homophobie,14,wshhh elodie dit leur on a vu leur sal photo,44,10,1,0,0,1,1,0,1,bully,OAG,victim,DNG,ATK,,NEG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4033898e-05,2.0835384e-06,1.3430333e-05,1.2161043e-05,2.905719e-05,1.3164856e-05,5.809605e-06,4.7686484e-07,3.3795925e-07,1.6058128e-06,6.822817e-08,4.4248354e-05,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.08333333333333333,1.0,0.01209920155103232,low_error,1,1,4
Homophobie,15," tu m'étonnes que vous l'avez vue,  c'est vous qu'il l'avez prises connasses",76,12,0,0,1,0,0,0,0,victim,OAG,bully,NCG,DFN,ATK,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.10719389,6.9488626e-05,0.00033298752,0.0067758323,0.998548,0.0008663924,0.004667787,5.0388673e-05,6.47809e-05,4.4356398e-06,3.468502e-05,0.0020870366,FN,OK,OK,OK,FP,OK,OK,OK,OK,OK,OK,OK,2,0.16666666666666666,1.0,0.12727319400990544,medium_error,1,1,4
Homophobie,16,ftg grosse salope,17,3,0,0,1,1,1,1,0,bully_support,OAG,victim,OTH,ATK,DFN,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3916391e-05,2.0879463e-06,1.2642199e-05,1.4859567e-05,3.303071e-05,1.1380679e-05,6.5983068e-06,4.902785e-07,3.2453744e-07,1.8141071e-06,7.3453386e-08,3.2445863e-05,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.08333333333333333,1.0,0.003337710772698571,low_error,1,1,4
Homophobie,17,tu sais dire d'autres choses à part ça ?,40,9,0,0,1,1,0,0,0,victim,CAG,bully_support,OTH,DFN,ATK,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2110086e-05,1.5534548e-06,9.1187185e-06,1.47813225e-05,2.3359731e-05,1.0726982e-05,4.568213e-06,3.4640593e-07,2.6114697e-07,1.1452681e-06,4.7536098e-08,4.006919e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0
Homophobie,18,anna bebe t ou,14,4,0,0,0,0,0,0,0,bully_support,NAG,,,OTH,,NEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3149698e-05,1.5906609e-06,1.0552421e-05,1.3306858e-05,3.05802e-05,1.0210288e-05,4.7819376e-06,3.6177536e-07,2.4889724e-07,1.2625998e-06,5.145401e-08,2.4304876e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0
Homophobie,19,ça se fait pas en plus de prendre en photos,43,10,0,0,0,0,0,0,0,victim_support,NAG,,,CNS,ATK,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6335354e-05,2.1286114e-06,1.2672121e-05,1.30173785e-05,3.1737563e-05,1.2429038e-05,6.013281e-06,4.8495775e-07,3.3044608e-07,1.6383094e-06,7.124345e-08,3.4434514e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0
Homophobie,20,mais cest des gouines,21,4,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,ATK,CNS,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6812318e-05,1.9974437e-05,2.2187854e-05,8.858664e-05,5.099155e-05,5.815036e-05,2.4584919e-05,3.9915085e-06,4.154899e-06,1.0593268e-05,7.785297e-07,0.0014030854,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0
Homophobie,21,et toi tu sais que la vie c'est homme femme pas femme femme salope,66,14,0,0,1,1,0,0,0,bully,OAG,victim,NCG,ATK,DFN,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2972951e-05,1.8624569e-06,1.0826053e-05,1.4185518e-05,3.0981286e-05,1.0982923e-05,5.3420313e-06,4.1709518e-07,2.8557417e-07,1.4849869e-06,6.058625e-08,3.763892e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0
Homophobie,22," on est pas gouines,  je lui tenais la main pour la réconforter y a quoi ? laissez-nous vivre",93,18,0,0,0,0,0,0,0,victim,NAG,,,CNS,ATK,NEU,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.96181357,0.0048443405,0.0029994822,0.0017885078,0.0014781344,0.0022843273,2.8668486e-05,0.00022095285,0.0013818344,0.00012459347,7.879894e-05,0.25980508,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FN,1,0.08333333333333333,0.5,0.015611872969073962,low_error,2,2,6
Homophobie,23,assume c pas compliquer,23,4,0,0,0,1,0,0,0,bully_support,OAG,victim,OTH,ATK,CNS,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2930473e-05,2.0752136e-06,1.17579375e-05,1.4160824e-05,2.5550744e-05,1.2540934e-05,5.811772e-06,4.64983e-07,3.4027386e-07,1.589322e-06,6.644611e-08,6.139316e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0
Homophobie,24,bande de gouines,16,3,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,AIN,,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3597873e-05,1.7001653e-06,1.1414929e-05,1.3805157e-05,3.0574367e-05,1.0732947e-05,4.9880628e-06,3.910885e-07,2.6570456e-07,1.3887669e-06,5.605429e-08,2.270721e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0
Homophobie,25,la réconforter et la galoche après,34,6,0,1,0,1,0,0,0,bully,CAG,victim,OTH,ATK,CNS,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1638523e-05,1.6176358e-06,1.19111455e-05,1.2592839e-05,2.4360357e-05,1.1214941e-05,4.4854605e-06,3.588464e-07,2.6349306e-07,1.3193625e-06,4.935765e-08,3.739774e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0
Homophobie,26,bande de crasseuse,18,3,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,AIN,,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4600302e-05,2.7219628e-06,1.6237645e-05,1.4566881e-05,4.3599823e-05,1.4793183e-05,7.757454e-06,6.6707565e-07,4.3459517e-07,2.3440662e-06,1.01701765e-07,3.5612276e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0
Homophobie,27,taimes les filles,17,3,0,0,1,1,0,0,0,bully_support,OAG,victim,OTH,ATK,CNS,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00020764815,4.774512e-05,0.00020733832,0.00012715963,0.00015557373,7.867469e-05,9.098398e-05,3.6041515e-06,1.6416485e-05,9.099277e-06,1.1224154e-06,0.99941325,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FP,1,0.08333333333333333,1.0,0.015611872969073962,low_error,0,0,0
Homophobie,28," y'a rien à assumer,  puisqu'y a r",34,7,0,0,0,0,0,0,0,victim,NAG,,,CNS,ATK,NEU,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9957112,0.0010104688,0.00048433634,0.00045700526,0.0030112495,0.00022603551,2.494046e-05,5.7785404e-05,0.00021151999,4.33416e-05,1.808394e-05,0.001729104,FP,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.08333333333333333,1.0,0.003337710772698571,low_error,0,0,0
Homophobie,29,burk sa me degoute,18,4,0,0,0,1,0,0,1,bully_support,OAG,victim,OTH,ATK,CNS,NEG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.25217932,0.018929094,0.00068227074,0.0035450358,0.00056461873,0.6441136,0.00055743626,0.011574406,0.5098139,0.0012619519,0.0008852421,0.12586173,OK,FN,OK,OK,OK,FP,OK,OK,FP,OK,OK,OK,3,0.25,1.0,0.20517297936556672,medium_error,1,2,5
Homophobie,30,mellez-vous de votre cul,24,4,0,0,1,0,1,0,0,victim,OAG,bully_support,OTH,DFN,ATK,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2685759e-05,1.6930558e-06,1.1331457e-05,1.2703617e-05,2.614632e-05,1.0657836e-05,5.0861663e-06,3.8260868e-07,2.7613387e-07,1.3298662e-06,5.342813e-08,3.7001697e-05,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.08333333333333333,1.0,0.003337710772698571,low_error,1,1,4
Homophobie,31,assume que t'aime les filles c tout connasse,44,8,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,ATK,CNS,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.37922233,0.0010368254,0.0007280788,0.00026572996,0.0002753836,0.00019695878,0.000101045116,4.5961464e-05,0.00047116473,3.5468944e-05,1.5614633e-05,0.9992699,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FP,2,0.16666666666666666,1.0,0.018949583741772535,medium_error,1,1,4
Homophobie,32,elle etait juste en train de la rassurer cest rien,50,10,0,0,0,0,0,0,0,victim_support,NAG,,,CNS,ATK,NEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001369064,0.00011126674,0.00021921012,0.0002523587,6.182127e-05,0.0001892457,2.8782168e-05,5.0698127e-06,2.4430246e-05,1.33051835e-05,1.5329351e-06,0.9989888,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FP,1,0.08333333333333333,1.0,0.015611872969073962,low_error,0,0,0
Homophobie,33,cul de crasseuse,16,3,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,ATK,DFN,NEG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5586274e-05,3.2328007e-06,2.017684e-05,1.7459313e-05,4.2879263e-05,1.8563976e-05,8.138645e-06,7.976954e-07,5.3754303e-07,2.785484e-06,1.2310645e-07,3.7468635e-05,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.08333333333333333,1.0,0.01209920155103232,low_error,1,1,4
Homophobie,34,on fait ce qu'on veut grosse chienne,36,7,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,ATK,DFN,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00032425064,5.1751264e-05,0.00016391296,0.00013362244,0.000116359115,0.00010252975,8.048574e-05,3.7858376e-06,2.0152876e-05,8.0735235e-06,1.126297e-06,0.9994561,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FP,2,0.16666666666666666,1.0,0.018949583741772535,medium_error,1,1,4
Homophobie,35,tg saloppe,10,2,0,0,1,0,1,1,0,victim,OAG,bully_support,OTH,DFN,ATK,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.344743e-05,1.5754507e-06,1.00498555e-05,1.36909875e-05,2.9621371e-05,1.0000561e-05,4.816355e-06,3.5960414e-07,2.4853176e-07,1.2376477e-06,5.1055533e-08,2.4091327e-05,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.08333333333333333,1.0,0.003337710772698571,low_error,1,1,4
Homophobie,36,marie tg,8,2,0,0,0,0,1,1,0,bully_support,OAG,victim_support,OTH,ATK,CNS,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3276499e-05,1.5567604e-06,1.0153202e-05,1.36873205e-05,2.9802457e-05,1.004861e-05,4.7441545e-06,3.5549024e-07,2.4569695e-07,1.2269473e-06,5.0399834e-08,2.3226803e-05,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.08333333333333333,1.0,0.003337710772698571,low_error,1,1,4
Homophobie,37,grosse pute va,14,3,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,ATK,DFN,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4383739e-05,1.895926e-06,1.30987955e-05,1.3168737e-05,3.1996515e-05,1.0973804e-05,5.6222993e-06,4.3586488e-07,2.8817703e-07,1.6113354e-06,6.3716584e-08,2.5436015e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0
Homophobie,38,saloperie,9,1,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,AIN,ATK,NEG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29874325e-05,1.4363383e-06,9.549006e-06,1.3937257e-05,2.856364e-05,9.600872e-06,4.5584557e-06,3.291245e-07,2.3249099e-07,1.1291428e-06,4.6037727e-08,2.2133438e-05,FN,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.16666666666666666,1.0,0.015436912323730892,medium_error,2,1,5
Homophobie,39,on dit que la vérité grosse pute,32,7,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,GSL,DFN,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3586609e-05,1.8185742e-06,1.1365656e-05,1.4473798e-05,2.9347704e-05,1.1625122e-05,5.260957e-06,4.2095786e-07,2.8814162e-07,1.4836506e-06,6.021173e-08,2.6965496e-05,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.08333333333333333,1.0,0.003337710772698571,low_error,1,1,4
Homophobie,40,chienne que tes ont aimes pas les lesbienne ici,47,9,0,0,1,1,0,0,0,bully_support,OAG,victim,OTH,ATK,DFN,NEG,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.00046102892,5.938418e-05,0.00016955927,0.00011916714,0.0001287364,8.8582165e-05,7.2093564e-05,3.9906486e-06,2.0162683e-05,8.723795e-06,1.2230945e-06,0.9994355,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.08333333333333333,0.5,0.01209920155103232,low_error,2,1,5
Homophobie,41,bref venais on les vire de la classe c'est grosse crasseuse,59,11,0,0,1,1,0,0,0,bully,OAG,victim,OTH,ATK,,NEG,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.67025644,0.07404312,0.0030467007,0.005706573,0.00018224632,0.054373827,0.00021704324,0.012930206,0.36346886,0.004742667,0.0014647542,0.20328896,FP,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.16666666666666666,1.0,0.015436912323730892,medium_error,1,1,4
Homophobie,42,qui les supp du groupe la,25,6,0,0,0,1,0,0,0,bully_support,OAG,victim,OTH,AIN,ATK,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25968645e-05,1.4012311e-06,9.4491415e-06,1.5186943e-05,2.8364344e-05,9.061624e-06,4.3701043e-06,3.1525855e-07,2.219162e-07,1.1183637e-06,4.466123e-08,2.0526493e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0
Homophobie,43,je vais les supprimer,21,4,0,0,0,0,0,0,0,bully_support,OAG,victim,OTH,AIN,ATK,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3729704e-05,2.1898186e-06,1.4543478e-05,1.615102e-05,2.5417225e-05,1.4843251e-05,5.5857654e-06,5.054838e-07,3.6167805e-07,1.7084108e-06,7.257783e-08,3.7144036e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0
Homophobie,44,on veut pas de sa ici,21,6,0,0,0,1,0,0,0,bully_support,OAG,victim,OTH,AIN,ATK,NEG,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.9967153,0.0011751715,0.0012247774,0.0004725737,0.00029329397,0.0006900017,2.7222426e-05,4.3028573e-05,0.000270803,5.945081e-05,1.1445003e-05,0.52523595,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FP,1,0.08333333333333333,0.5,0.015611872969073962,low_error,1,1,4
Homophobie,45,grave pas de crasseuse,22,4,0,0,1,1,1,0,0,bully_support,OAG,victim,OTH,AIN,AIN,NEG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9349834e-05,3.0608677e-05,9.195881e-05,3.3290937e-05,5.4353648e-05,8.6660555e-05,3.1815805e-05,7.400573e-06,9.506691e-06,1.6575594e-05,1.1991152e-06,0.0021111642,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.08333333333333333,1.0,0.01209920155103232,low_error,1,1,4
