antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'SENTIMENT=NEG', 'domain=Religion', 'HATE=OAG', 'INTENTION=DFN'})",frozenset({'TARGET=bully'}),0.09146341463414634,0.23170731707317074,0.08536585365853659,0.9333333333333336,4.0280701754385975,1.0,0.06417311124330756,11.52439024390248,0.8274209012464045,0.35897435897435903,0.9132275132275135,0.6508771929824563
"frozenset({'VERBAL_ABUSE=OTH', 'INTENTION=DFN', 'text_long'})","frozenset({'SENTIMENT=NEG', 'TARGET=bully', 'CONTEXT=ATK'})",0.11585365853658537,0.18292682926829268,0.08536585365853659,0.736842105263158,4.028070175438597,1.0,0.06417311124330756,3.104878048780489,0.8502463054187192,0.4000000000000001,0.6779261586802829,0.6017543859649124
"frozenset({'VERBAL_ABUSE=OTH', 'INTENTION=DFN', 'text_long'})","frozenset({'TARGET=bully', 'CONTEXT=ATK'})",0.11585365853658537,0.18292682926829268,0.08536585365853659,0.736842105263158,4.028070175438597,1.0,0.06417311124330756,3.104878048780489,0.8502463054187192,0.4000000000000001,0.6779261586802829,0.6017543859649124
"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'INTENTION=DFN', 'text_long'})","frozenset({'TARGET=bully', 'CONTEXT=ATK'})",0.11585365853658537,0.18292682926829268,0.08536585365853659,0.736842105263158,4.028070175438597,1.0,0.06417311124330756,3.104878048780489,0.8502463054187192,0.4000000000000001,0.6779261586802829,0.6017543859649124
"frozenset({'SENTIMENT=NEG', 'ROLE=victim_support', 'text_long'})","frozenset({'INTENTION=DFN', 'mépris / haine=1'})",0.10365853658536585,0.2073170731707317,0.08536585365853659,0.8235294117647061,3.972318339100347,1.0,0.06387566924449734,4.491869918699192,0.8347910592808553,0.37837837837837845,0.77737556561086,0.6176470588235295
"frozenset({'TARGET=bully', 'text_long', 'CONTEXT=ATK'})","frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'INTENTION=DFN'})",0.12195121951219512,0.17682926829268292,0.08536585365853659,0.7000000000000002,3.9586206896551737,1.0,0.06380130874479477,2.7439024390243922,0.8511904761904762,0.4000000000000001,0.6355555555555558,0.5913793103448277
"frozenset({'SENTIMENT=NEG', 'TARGET=bully', 'text_long', 'CONTEXT=ATK'})","frozenset({'VERBAL_ABUSE=OTH', 'INTENTION=DFN'})",0.12195121951219512,0.17682926829268292,0.08536585365853659,0.7000000000000002,3.9586206896551737,1.0,0.06380130874479477,2.7439024390243922,0.8511904761904762,0.4000000000000001,0.6355555555555558,0.5913793103448277
"frozenset({'TARGET=bully', 'text_long', 'CONTEXT=ATK'})","frozenset({'VERBAL_ABUSE=OTH', 'INTENTION=DFN'})",0.12195121951219512,0.17682926829268292,0.08536585365853659,0.7000000000000002,3.9586206896551737,1.0,0.06380130874479477,2.7439024390243922,0.8511904761904762,0.4000000000000001,0.6355555555555558,0.5913793103448277
"frozenset({'SENTIMENT=NEG', 'ROLE=victim_support', 'text_long'})","frozenset({'INTENTION=DFN', 'TARGET=bully'})",0.10365853658536585,0.22560975609756098,0.09146341463414634,0.8823529411764706,3.9109697933227343,1.0,0.06807703747769185,6.582317073170731,0.8303854875283447,0.3846153846153846,0.8480778138026864,0.6438791732909379
"frozenset({'TARGET=bully', 'mépris / haine=1'})","frozenset({'SENTIMENT=NEG', 'ROLE=victim_support'})",0.14634146341463414,0.17073170731707318,0.0975609756097561,0.6666666666666667,3.904761904761905,1.0,0.0725758477096966,2.487804878048781,0.8714285714285713,0.4444444444444445,0.5980392156862746,0.6190476190476191
"frozenset({'TARGET=bully', 'mépris / haine=1'})","frozenset({'ROLE=victim_support', 'INTENTION=DFN'})",0.14634146341463414,0.17073170731707318,0.0975609756097561,0.6666666666666667,3.904761904761905,1.0,0.0725758477096966,2.487804878048781,0.8714285714285713,0.4444444444444445,0.5980392156862746,0.6190476190476191
"frozenset({'SENTIMENT=NEG', 'TARGET=bully', 'mépris / haine=1'})","frozenset({'ROLE=victim_support', 'INTENTION=DFN'})",0.14634146341463414,0.17073170731707318,0.0975609756097561,0.6666666666666667,3.904761904761905,1.0,0.0725758477096966,2.487804878048781,0.8714285714285713,0.4444444444444445,0.5980392156862746,0.6190476190476191
"frozenset({'ROLE=victim_support', 'INTENTION=DFN'})","frozenset({'SENTIMENT=NEG', 'TARGET=bully', 'mépris / haine=1'})",0.17073170731707318,0.14634146341463414,0.0975609756097561,0.5714285714285714,3.9047619047619047,1.0,0.0725758477096966,1.9918699186991868,0.8970588235294118,0.4444444444444445,0.49795918367346936,0.6190476190476191
"frozenset({'ROLE=victim_support', 'INTENTION=DFN'})","frozenset({'TARGET=bully', 'mépris / haine=1'})",0.17073170731707318,0.14634146341463414,0.0975609756097561,0.5714285714285714,3.9047619047619047,1.0,0.0725758477096966,1.9918699186991868,0.8970588235294118,0.4444444444444445,0.49795918367346936,0.6190476190476191
"frozenset({'SENTIMENT=NEG', 'ROLE=victim_support'})","frozenset({'TARGET=bully', 'mépris / haine=1'})",0.17073170731707318,0.14634146341463414,0.0975609756097561,0.5714285714285714,3.9047619047619047,1.0,0.0725758477096966,1.9918699186991868,0.8970588235294118,0.4444444444444445,0.49795918367346936,0.6190476190476191
"frozenset({'TARGET=bully', 'text_long'})","frozenset({'VERBAL_ABUSE=OTH', 'INTENTION=DFN', 'CONTEXT=ATK'})",0.15853658536585366,0.1402439024390244,0.08536585365853659,0.5384615384615385,3.839464882943144,1.0,0.06313206424747175,1.8628048780487807,0.8788819875776398,0.39999999999999997,0.46317512274959094,0.5735785953177257
"frozenset({'TARGET=bully', 'text_long'})","frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'INTENTION=DFN', 'CONTEXT=ATK'})",0.15853658536585366,0.1402439024390244,0.08536585365853659,0.5384615384615385,3.839464882943144,1.0,0.06313206424747175,1.8628048780487807,0.8788819875776398,0.39999999999999997,0.46317512274959094,0.5735785953177257
"frozenset({'TARGET=bully', 'text_long'})","frozenset({'SENTIMENT=NEG', 'domain=Religion', 'INTENTION=DFN'})",0.15853658536585366,0.1402439024390244,0.08536585365853659,0.5384615384615385,3.839464882943144,1.0,0.06313206424747175,1.8628048780487807,0.8788819875776398,0.39999999999999997,0.46317512274959094,0.5735785953177257
"frozenset({'SENTIMENT=NEG', 'TARGET=bully', 'text_long'})","frozenset({'VERBAL_ABUSE=OTH', 'INTENTION=DFN', 'CONTEXT=ATK'})",0.15853658536585366,0.1402439024390244,0.08536585365853659,0.5384615384615385,3.839464882943144,1.0,0.06313206424747175,1.8628048780487807,0.8788819875776398,0.39999999999999997,0.46317512274959094,0.5735785953177257
"frozenset({'VERBAL_ABUSE=OTH', 'INTENTION=DFN', 'CONTEXT=ATK'})","frozenset({'SENTIMENT=NEG', 'TARGET=bully', 'text_long'})",0.1402439024390244,0.15853658536585366,0.08536585365853659,0.608695652173913,3.8394648829431435,1.0,0.06313206424747175,2.15040650406504,0.8601823708206687,0.39999999999999997,0.5349716446124763,0.5735785953177257
"frozenset({'VERBAL_ABUSE=OTH', 'INTENTION=DFN', 'CONTEXT=ATK'})","frozenset({'TARGET=bully', 'text_long'})",0.1402439024390244,0.15853658536585366,0.08536585365853659,0.608695652173913,3.8394648829431435,1.0,0.06313206424747175,2.15040650406504,0.8601823708206687,0.39999999999999997,0.5349716446124763,0.5735785953177257
"frozenset({'SENTIMENT=NEG', 'domain=Religion', 'INTENTION=DFN'})","frozenset({'TARGET=bully', 'text_long'})",0.1402439024390244,0.15853658536585366,0.08536585365853659,0.608695652173913,3.8394648829431435,1.0,0.06313206424747175,2.15040650406504,0.8601823708206687,0.39999999999999997,0.5349716446124763,0.5735785953177257
"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'INTENTION=DFN', 'CONTEXT=ATK'})","frozenset({'TARGET=bully', 'text_long'})",0.1402439024390244,0.15853658536585366,0.08536585365853659,0.608695652173913,3.8394648829431435,1.0,0.06313206424747175,2.15040650406504,0.8601823708206687,0.39999999999999997,0.5349716446124763,0.5735785953177257
"frozenset({'HATE=OAG', 'INTENTION=DFN', 'ROLE=victim_support'})","frozenset({'SENTIMENT=NEG', 'TARGET=bully'})",0.10975609756097561,0.23170731707317074,0.0975609756097561,0.8888888888888888,3.8362573099415203,1.0,0.07212968471148126,6.91463414634146,0.8304794520547945,0.39999999999999997,0.8553791887125219,0.6549707602339181
"frozenset({'SENTIMENT=NEG', 'HATE=OAG', 'INTENTION=DFN', 'ROLE=victim_support'})",frozenset({'TARGET=bully'}),0.10975609756097561,0.23170731707317074,0.0975609756097561,0.8888888888888888,3.8362573099415203,1.0,0.07212968471148126,6.91463414634146,0.8304794520547945,0.39999999999999997,0.8553791887125219,0.6549707602339181
"frozenset({'HATE=OAG', 'INTENTION=DFN', 'ROLE=victim_support'})",frozenset({'TARGET=bully'}),0.10975609756097561,0.23170731707317074,0.0975609756097561,0.8888888888888888,3.8362573099415203,1.0,0.07212968471148126,6.91463414634146,0.8304794520547945,0.39999999999999997,0.8553791887125219,0.6549707602339181
"frozenset({'SENTIMENT=NEG', 'ROLE=victim_support', 'text_long'})",frozenset({'TARGET=bully'}),0.10365853658536585,0.23170731707317074,0.09146341463414634,0.8823529411764706,3.8080495356037147,1.0,0.06744497323022011,6.530487804878048,0.8226757369614514,0.37499999999999994,0.8468720821661998,0.6385448916408669
"frozenset({'VERBAL_ABUSE=OTH', 'ROLE=victim_support', 'INTENTION=DFN'})","frozenset({'SENTIMENT=NEG', 'TARGET=bully'})",0.0975609756097561,0.23170731707317074,0.08536585365853659,0.8750000000000001,3.7763157894736845,1.0,0.06276026174895896,6.14634146341464,0.8146718146718147,0.35000000000000003,0.8373015873015874,0.6217105263157896
"frozenset({'VERBAL_ABUSE=OTH', 'INTENTION=DFN', 'text_long', 'CONTEXT=ATK'})",frozenset({'TARGET=bully'}),0.0975609756097561,0.23170731707317074,0.08536585365853659,0.8750000000000001,3.7763157894736845,1.0,0.06276026174895896,6.14634146341464,0.8146718146718147,0.35000000000000003,0.8373015873015874,0.6217105263157896
"frozenset({'SENTIMENT=NEG', 'text_long', 'INTENTION=DFN', 'CONTEXT=ATK', 'VERBAL_ABUSE=OTH'})",frozenset({'TARGET=bully'}),0.0975609756097561,0.23170731707317074,0.08536585365853659,0.8750000000000001,3.7763157894736845,1.0,0.06276026174895896,6.14634146341464,0.8146718146718147,0.35000000000000003,0.8373015873015874,0.6217105263157896
"frozenset({'VERBAL_ABUSE=OTH', 'ROLE=victim_support', 'INTENTION=DFN'})",frozenset({'TARGET=bully'}),0.0975609756097561,0.23170731707317074,0.08536585365853659,0.8750000000000001,3.7763157894736845,1.0,0.06276026174895896,6.14634146341464,0.8146718146718147,0.35000000000000003,0.8373015873015874,0.6217105263157896
"frozenset({'VERBAL_ABUSE=OTH', 'INTENTION=DFN', 'text_long', 'CONTEXT=ATK'})","frozenset({'SENTIMENT=NEG', 'TARGET=bully'})",0.0975609756097561,0.23170731707317074,0.08536585365853659,0.8750000000000001,3.7763157894736845,1.0,0.06276026174895896,6.14634146341464,0.8146718146718147,0.35000000000000003,0.8373015873015874,0.6217105263157896
"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'ROLE=victim_support', 'INTENTION=DFN'})",frozenset({'TARGET=bully'}),0.0975609756097561,0.23170731707317074,0.08536585365853659,0.8750000000000001,3.7763157894736845,1.0,0.06276026174895896,6.14634146341464,0.8146718146718147,0.35000000000000003,0.8373015873015874,0.6217105263157896
"frozenset({'SENTIMENT=NEG', 'domain=Religion', 'CONTEXT=ATK'})","frozenset({'INTENTION=DFN', 'TARGET=bully'})",0.12195121951219512,0.22560975609756098,0.10365853658536585,0.85,3.7675675675675673,1.0,0.07614515169541938,5.16260162601626,0.8366013071895424,0.425,0.8062992125984252,0.6547297297297296
"frozenset({'SENTIMENT=NEG', 'ROLE=victim'})","frozenset({'INTENTION=DFN', 'text_long'})",0.10975609756097561,0.23780487804878048,0.0975609756097561,0.8888888888888888,3.737891737891738,1.0,0.07146044021415825,6.859756097560973,0.8227739726027398,0.39024390243902446,0.8542222222222221,0.6495726495726495
"frozenset({'ROLE=victim_support', 'mépris / haine=1'})","frozenset({'SENTIMENT=NEG', 'INTENTION=DFN', 'TARGET=bully'})",0.11585365853658537,0.22560975609756098,0.0975609756097561,0.8421052631578948,3.732574679943101,1.0,0.07142325996430696,4.90447154471545,0.8280172413793103,0.39999999999999997,0.7961044343141319,0.6372688477951636
"frozenset({'HATE=OAG', 'ROLE=victim_support'})","frozenset({'INTENTION=DFN', 'TARGET=bully'})",0.11585365853658537,0.22560975609756098,0.0975609756097561,0.8421052631578948,3.732574679943101,1.0,0.07142325996430696,4.90447154471545,0.8280172413793103,0.39999999999999997,0.7961044343141319,0.6372688477951636
"frozenset({'ROLE=victim_support', 'mépris / haine=1'})","frozenset({'INTENTION=DFN', 'TARGET=bully'})",0.11585365853658537,0.22560975609756098,0.0975609756097561,0.8421052631578948,3.732574679943101,1.0,0.07142325996430696,4.90447154471545,0.8280172413793103,0.39999999999999997,0.7961044343141319,0.6372688477951636
"frozenset({'SENTIMENT=NEG', 'ROLE=victim_support', 'mépris / haine=1'})","frozenset({'INTENTION=DFN', 'TARGET=bully'})",0.11585365853658537,0.22560975609756098,0.0975609756097561,0.8421052631578948,3.732574679943101,1.0,0.07142325996430696,4.90447154471545,0.8280172413793103,0.39999999999999997,0.7961044343141319,0.6372688477951636
"frozenset({'SENTIMENT=NEG', 'HATE=OAG', 'ROLE=victim_support'})","frozenset({'INTENTION=DFN', 'TARGET=bully'})",0.11585365853658537,0.22560975609756098,0.0975609756097561,0.8421052631578948,3.732574679943101,1.0,0.07142325996430696,4.90447154471545,0.8280172413793103,0.39999999999999997,0.7961044343141319,0.6372688477951636
"frozenset({'HATE=OAG', 'ROLE=victim_support'})","frozenset({'SENTIMENT=NEG', 'INTENTION=DFN', 'TARGET=bully'})",0.11585365853658537,0.22560975609756098,0.0975609756097561,0.8421052631578948,3.732574679943101,1.0,0.07142325996430696,4.90447154471545,0.8280172413793103,0.39999999999999997,0.7961044343141319,0.6372688477951636
"frozenset({'SENTIMENT=NEG', 'ROLE=victim_support', 'INTENTION=DFN'})","frozenset({'VERBAL_ABUSE=OTH', 'TARGET=bully'})",0.16463414634146342,0.1402439024390244,0.08536585365853659,0.5185185185185186,3.697262479871176,1.0,0.06227691850089233,1.785647279549719,0.8733055265901981,0.3888888888888889,0.43997898607827696,0.5636070853462158
"frozenset({'VERBAL_ABUSE=OTH', 'TARGET=bully'})","frozenset({'SENTIMENT=NEG', 'ROLE=victim_support', 'INTENTION=DFN'})",0.1402439024390244,0.16463414634146342,0.08536585365853659,0.608695652173913,3.697262479871175,1.0,0.06227691850089233,2.134823848238482,0.848530901722391,0.3888888888888889,0.5315772770549031,0.5636070853462158
"frozenset({'VERBAL_ABUSE=OTH', 'CONTEXT=ATK'})","frozenset({'SENTIMENT=NEG', 'TARGET=bully', 'INTENTION=DFN', 'text_long'})",0.1524390243902439,0.1524390243902439,0.08536585365853659,0.5600000000000002,3.6736000000000013,1.0,0.062128197501487216,1.9262749445676282,0.8586844809866394,0.38888888888888895,0.48086330935251814,0.5600000000000002
"frozenset({'TARGET=bully', 'INTENTION=DFN', 'text_long'})","frozenset({'VERBAL_ABUSE=OTH', 'CONTEXT=ATK'})",0.1524390243902439,0.1524390243902439,0.08536585365853659,0.5600000000000002,3.6736000000000013,1.0,0.062128197501487216,1.9262749445676282,0.8586844809866394,0.38888888888888895,0.48086330935251814,0.5600000000000002
"frozenset({'SENTIMENT=NEG', 'TARGET=bully', 'INTENTION=DFN', 'text_long'})","frozenset({'VERBAL_ABUSE=OTH', 'CONTEXT=ATK'})",0.1524390243902439,0.1524390243902439,0.08536585365853659,0.5600000000000002,3.6736000000000013,1.0,0.062128197501487216,1.9262749445676282,0.8586844809866394,0.38888888888888895,0.48086330935251814,0.5600000000000002
"frozenset({'VERBAL_ABUSE=OTH', 'CONTEXT=ATK'})","frozenset({'TARGET=bully', 'INTENTION=DFN', 'text_long'})",0.1524390243902439,0.1524390243902439,0.08536585365853659,0.5600000000000002,3.6736000000000013,1.0,0.062128197501487216,1.9262749445676282,0.8586844809866394,0.38888888888888895,0.48086330935251814,0.5600000000000002
"frozenset({'TARGET=bully', 'INTENTION=DFN', 'text_long'})","frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'CONTEXT=ATK'})",0.1524390243902439,0.1524390243902439,0.08536585365853659,0.5600000000000002,3.6736000000000013,1.0,0.062128197501487216,1.9262749445676282,0.8586844809866394,0.38888888888888895,0.48086330935251814,0.5600000000000002
"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'CONTEXT=ATK'})","frozenset({'TARGET=bully', 'INTENTION=DFN', 'text_long'})",0.1524390243902439,0.1524390243902439,0.08536585365853659,0.5600000000000002,3.6736000000000013,1.0,0.062128197501487216,1.9262749445676282,0.8586844809866394,0.38888888888888895,0.48086330935251814,0.5600000000000002
frozenset({'ROLE=victim'}),"frozenset({'INTENTION=DFN', 'text_long', 'CONTEXT=ATK'})",0.1402439024390244,0.20121951219512196,0.10365853658536585,0.7391304347826085,3.673254281949933,1.0,0.07543872694824508,3.0619918699186974,0.8464747601168126,0.4358974358974358,0.6734152007965479,0.6271409749670618
"frozenset({'INTENTION=DFN', 'text_long', 'CONTEXT=ATK'})",frozenset({'ROLE=victim'}),0.20121951219512196,0.1402439024390244,0.10365853658536585,0.515151515151515,3.6732542819499328,1.0,0.07543872694824508,1.7732469512195117,0.9110911540188593,0.4358974358974358,0.43606275521169124,0.6271409749670618
"frozenset({'SENTIMENT=NEG', 'domain=Religion', 'INTENTION=DFN', 'CONTEXT=ATK'})",frozenset({'TARGET=bully'}),0.12195121951219512,0.23170731707317074,0.10365853658536585,0.85,3.6684210526315786,1.0,0.0754015466983938,5.121951219512194,0.8284313725490194,0.4146341463414634,0.8047619047619048,0.6486842105263158
"frozenset({'SENTIMENT=NEG', 'domain=Religion', 'CONTEXT=ATK'})",frozenset({'TARGET=bully'}),0.12195121951219512,0.23170731707317074,0.10365853658536585,0.85,3.6684210526315786,1.0,0.0754015466983938,5.121951219512194,0.8284313725490194,0.4146341463414634,0.8047619047619048,0.6486842105263158
frozenset({'ROLE=victim'}),"frozenset({'INTENTION=DFN', 'text_long'})",0.1402439024390244,0.23780487804878048,0.12195121951219512,0.8695652173913041,3.6566332218506123,1.0,0.08860053539559785,5.843495934959338,0.8450354609929078,0.47619047619047616,0.828869565217391,0.6911928651059085
"frozenset({'INTENTION=DFN', 'text_long'})",frozenset({'ROLE=victim'}),0.23780487804878048,0.1402439024390244,0.12195121951219512,0.5128205128205128,3.6566332218506123,1.0,0.08860053539559785,1.7647625160462128,0.9531999999999999,0.47619047619047616,0.4333515184579014,0.6911928651059085
"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'ROLE=victim_support'})","frozenset({'INTENTION=DFN', 'TARGET=bully'})",0.10365853658536585,0.22560975609756098,0.08536585365853659,0.8235294117647061,3.650238473767886,1.0,0.061979476502082104,4.388211382113826,0.8100097181729835,0.35000000000000003,0.7721167207040299,0.6009538950715423
"frozenset({'VERBAL_ABUSE=OTH', 'ROLE=victim_support'})","frozenset({'INTENTION=DFN', 'TARGET=bully'})",0.10365853658536585,0.22560975609756098,0.08536585365853659,0.8235294117647061,3.650238473767886,1.0,0.061979476502082104,4.388211382113826,0.8100097181729835,0.35000000000000003,0.7721167207040299,0.6009538950715423
