f1,f2,interaction_var,error_range,max_error,min_error,n_cells
TARGET,mépris / haine,0.000467,0.0637,0.1027,0.039,10
TARGET,ironie,0.000314,0.063,0.1,0.037,9
domain,interjection,0.000538,0.0626,0.1154,0.0528,8
ROLE,ironie,0.000353,0.0624,0.079,0.0167,9
ROLE,interjection,0.000418,0.062,0.1136,0.0516,10
HATE,abréviation,0.000569,0.0613,0.102,0.0407,6
domain,abréviation,0.000423,0.0604,0.1111,0.0507,8
VERBAL_ABUSE,INTENTION,0.000264,0.0603,0.1083,0.0481,13
TARGET,abréviation,0.000437,0.0601,0.1133,0.0532,10
HATE,insulte,0.000553,0.0596,0.0967,0.0372,6
mépris / haine,abréviation,0.000593,0.0596,0.1059,0.0462,4
HATE,interjection,0.000505,0.059,0.0985,0.0395,6
VERBAL_ABUSE,mépris / haine,0.000487,0.0589,0.1034,0.0444,8
HATE,TARGET,0.000528,0.0581,0.0875,0.0294,10
ROLE,HATE,0.000441,0.0573,0.0906,0.0333,15
INTENTION,argot,0.000291,0.057,0.0893,0.0323,13
TARGET,domain,0.000291,0.0564,0.1104,0.0539,15
insulte,mépris / haine,0.000555,0.0563,0.1006,0.0444,4
HATE,mépris / haine,0.000421,0.0558,0.0923,0.0366,6
insulte,interjection,0.000585,0.0554,0.1053,0.0499,4
VERBAL_ABUSE,ironie,0.000482,0.0551,0.1071,0.0521,6
TARGET,insulte,0.000378,0.0545,0.1016,0.0471,10
SENTIMENT,interjection,0.000491,0.0543,0.0898,0.0356,5
elongation,interjection,0.000682,0.0536,0.1136,0.0601,4
SENTIMENT,mépris / haine,0.000605,0.0516,0.0833,0.0317,5
mépris / haine,interjection,0.00046,0.0508,0.0987,0.0479,4
HATE,argot,0.00038,0.0502,0.0903,0.0401,6
domain,mépris / haine,0.000304,0.0498,0.0898,0.04,8
SENTIMENT,argot,0.000389,0.049,0.0845,0.0355,5
domain,argot,0.000271,0.0485,0.095,0.0464,8
ROLE,TARGET,0.000196,0.0478,0.0954,0.0476,12
insulte,argot,0.000485,0.0478,0.096,0.0482,4
TARGET,argot,0.000193,0.0466,0.1003,0.0537,10
CONTEXT,ironie,0.000228,0.0463,0.0833,0.037,12
ROLE,mépris / haine,0.000268,0.0448,0.0883,0.0435,10
ironie,abréviation,0.000481,0.0446,0.1019,0.0573,4
mépris / haine,argot,0.000351,0.0439,0.0884,0.0445,4
HATE,SENTIMENT,0.000362,0.0437,0.0806,0.0368,5
VERBAL_ABUSE,elongation,0.000371,0.0436,0.0926,0.049,5
ROLE,argot,0.000175,0.0433,0.0914,0.0481,10
SENTIMENT,ironie,0.000436,0.0428,0.0741,0.0312,5
ironie,insulte,0.000475,0.042,0.094,0.0519,4
INTENTION,ironie,0.00022,0.0416,0.0742,0.0326,10
abréviation,interjection,0.000309,0.0408,0.0985,0.0577,4
HATE,ironie,0.000302,0.0395,0.08,0.0405,6
argot,abréviation,0.000242,0.0368,0.0939,0.0571,4
VERBAL_ABUSE,SENTIMENT,0.000235,0.0343,0.0949,0.0606,4
ironie,mépris / haine,0.000254,0.033,0.0817,0.0486,4
domain,ironie,0.000139,0.0325,0.0825,0.05,7
TARGET,INTENTION,8.6e-05,0.0291,0.087,0.0579,7
argot,interjection,0.000155,0.0261,0.0821,0.056,4
ironie,argot,0.000115,0.025,0.0828,0.0578,4
ironie,interjection,9.3e-05,0.0202,0.0811,0.0608,4
