f1,f2,interaction_var,error_range,max_error,min_error,n_cells
elongation,mépris / haine,0.000709,0.0651,0.1167,0.0516,4
elongation,abréviation,0.000834,0.0648,0.1296,0.0649,4
HATE,VERBAL_ABUSE,0.000591,0.0639,0.1056,0.0417,7
CONTEXT,interjection,0.00049,0.0635,0.119,0.0556,11
insulte,interjection,0.000728,0.0634,0.1184,0.055,4
SENTIMENT,elongation,0.000909,0.063,0.1,0.037,4
HATE,interjection,0.000544,0.0623,0.1061,0.0438,6
mépris / haine,interjection,0.000706,0.0612,0.1118,0.0507,4
mépris / haine,abréviation,0.000637,0.0609,0.1104,0.0494,4
ROLE,ironie,0.000351,0.0598,0.0931,0.0333,9
ROLE,insulte,0.000448,0.0589,0.1027,0.0439,10
TARGET,insulte,0.000376,0.0586,0.1111,0.0525,10
insulte,mépris / haine,0.000572,0.0581,0.1049,0.0468,4
HATE,insulte,0.000566,0.0576,0.0982,0.0406,6
TARGET,abréviation,0.000376,0.0564,0.1167,0.0603,10
TARGET,ironie,0.000284,0.0561,0.1167,0.0606,9
elongation,argot,0.000542,0.0559,0.119,0.0631,4
TARGET,elongation,0.00037,0.0556,0.1167,0.0611,6
ironie,abréviation,0.000654,0.0556,0.1204,0.0647,4
HATE,mépris / haine,0.000417,0.0555,0.0981,0.0427,6
SENTIMENT,mépris / haine,0.000508,0.0554,0.0911,0.0357,5
insulte,abréviation,0.000554,0.0551,0.1101,0.055,4
domain,mépris / haine,0.000386,0.0538,0.0955,0.0417,8
HATE,abréviation,0.000545,0.0516,0.0963,0.0447,6
CONTEXT,elongation,0.000269,0.0504,0.1042,0.0537,9
SENTIMENT,argot,0.000472,0.0498,0.0868,0.037,5
domain,argot,0.000247,0.0491,0.1019,0.0527,8
mépris / haine,argot,0.00043,0.0481,0.0965,0.0484,4
HATE,argot,0.000308,0.0477,0.0917,0.044,6
domain,elongation,0.000354,0.0477,0.1061,0.0583,5
HATE,SENTIMENT,0.00034,0.0471,0.0841,0.037,5
ROLE,mépris / haine,0.000384,0.0469,0.0929,0.046,10
elongation,interjection,0.000392,0.0462,0.1111,0.0649,4
ironie,interjection,0.00043,0.046,0.1111,0.0652,4
TARGET,argot,0.000179,0.0452,0.1026,0.0574,10
insulte,argot,0.000449,0.045,0.0989,0.0539,4
ROLE,TARGET,0.000224,0.0447,0.1023,0.0575,12
SENTIMENT,ironie,0.000462,0.0446,0.0816,0.037,5
ROLE,argot,0.000138,0.0433,0.0914,0.0481,10
ironie,insulte,0.000352,0.0418,0.098,0.0561,4
HATE,ironie,0.000272,0.0396,0.0837,0.0442,6
ironie,mépris / haine,0.000276,0.0369,0.0886,0.0518,4
abréviation,interjection,0.000229,0.0358,0.0985,0.0627,4
VERBAL_ABUSE,SENTIMENT,0.000235,0.033,0.1037,0.0707,4
argot,abréviation,0.000167,0.0299,0.0924,0.0625,4
argot,interjection,0.000152,0.0281,0.0891,0.061,4
TARGET,INTENTION,0.000115,0.0278,0.0914,0.0636,7
domain,ironie,8.9e-05,0.0234,0.0833,0.0599,7
ironie,argot,9.8e-05,0.0212,0.0839,0.0627,4
