,_profile_key,n,mean_error,median_error,std_error,active_labels,density
9,0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0,2,0.08333333333333333,0.08333333333333333,0.0,"['Culpabilité', 'Désignée']",2
13,0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|1,1,0.08333333333333333,0.08333333333333333,,"['Tristesse', 'Désignée', 'Suggérée']",3
19,0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1,1,0.08333333333333333,0.08333333333333333,,"['Peur', 'Suggérée']",2
4,0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0,1,0.08333333333333333,0.08333333333333333,,"['Autre', 'Comportementale', 'Désignée']",3
10,0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0,1,0.08333333333333333,0.08333333333333333,,"['Culpabilité', 'Comportementale']",2
52,1|0|1|0|0|0|0|0|0|0|0|0|0|1|0|1,2,0.08333333333333333,0.08333333333333333,0.0,"['Colère', 'Joie', 'Désignée', 'Suggérée']",4
57,1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|0,1,0.08333333333333333,0.08333333333333333,,"['Colère', 'Dégoût', 'Désignée', 'Montrée']",4
41,1|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0,7,0.08333333333333333,0.08333333333333333,0.06804138174397716,"['Colère', 'Comportementale', 'Montrée']",3
50,1|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0,1,0.08333333333333333,0.08333333333333333,,"['Colère', 'Peur', 'Tristesse', 'Montrée']",4
37,1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0,166,0.08182730923694778,0.08333333333333333,0.05064640374842597,"['Colère', 'Montrée']",2
23,0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0,12,0.07638888888888888,0.08333333333333333,0.06608012175822991,"['Joie', 'Désignée']",2
3,0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0,5,0.06666666666666667,0.08333333333333333,0.06972166887783963,"['Autre', 'Désignée']",2
1,0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1,3,0.05555555555555555,0.08333333333333333,0.048112522432468816,"['Autre', 'Suggérée']",2
40,1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0,13,0.044871794871794865,0.0,0.0646875021505154,"['Colère', 'Comportementale']",2
0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,383,0.01610095735422106,0.0,0.035082371560526786,[],0
24,0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0,1,0.0,0.0,,"['Joie', 'Comportementale']",2
18,0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0,2,0.0,0.0,0.0,"['Surprise', 'Désignée']",2
7,0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0,2,0.0,0.0,0.0,"['Fierté', 'Désignée']",2
6,0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1,1,0.0,0.0,,"['Fierté', 'Suggérée']",2
21,0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1,1,0.0,0.0,,"['Joie', 'Suggérée']",2
20,0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0,1,0.0,0.0,,"['Peur', 'Désignée']",2
