support,itemsets
0.23325062034739455,frozenset({'ROLE=conciliator'})
0.23076923076923078,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG'})"
0.228287841191067,"frozenset({'mépris / haine=1', 'HATE=OAG'})"
0.228287841191067,"frozenset({'SENTIMENT=NEG', 'HATE=OAG', 'INTENTION=ATK'})"
0.228287841191067,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'HATE=OAG'})"
0.22580645161290322,"frozenset({'SENTIMENT=NEG', 'TARGET=victim', 'INTENTION=ATK'})"
0.22580645161290322,"frozenset({'HATE=OAG', 'TARGET=victim'})"
0.22332506203473945,"frozenset({'SENTIMENT=NEG', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.22084367245657568,frozenset({'INTENTION=DFN'})
0.21836228287841192,"frozenset({'text_court', 'HATE=NAG'})"
0.21836228287841192,"frozenset({'SENTIMENT=NEG', 'HATE=OAG', 'TARGET=victim'})"
0.21588089330024815,"frozenset({'domain=Obésité', 'text_court'})"
0.21588089330024815,"frozenset({'text_long', 'SENTIMENT=NEG'})"
0.20843672456575682,"frozenset({'CONTEXT=ATK', 'SENTIMENT=NEG'})"
0.20595533498759305,"frozenset({'VERBAL_ABUSE=OTH', 'INTENTION=ATK'})"
0.20347394540942929,"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'INTENTION=ATK'})"
0.20347394540942929,"frozenset({'ROLE=bully_support', 'TARGET=victim'})"
0.20099255583126552,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'INTENTION=ATK'})"
0.20099255583126552,"frozenset({'CONTEXT=DFN', 'INTENTION=ATK'})"
0.20099255583126552,"frozenset({'HATE=OAG', 'ROLE=bully_support'})"
0.20099255583126552,"frozenset({'mépris / haine=1', 'INTENTION=ATK'})"
0.19851116625310175,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'INTENTION=ATK'})"
0.19851116625310175,frozenset({'INTENTION=OTH'})
0.19602977667493796,"frozenset({'INTENTION=OTH', 'HATE=NAG'})"
0.19602977667493796,"frozenset({'HATE=OAG', 'SENTIMENT=NEG', 'ROLE=bully_support'})"
0.1935483870967742,"frozenset({'SENTIMENT=NEG', 'ROLE=bully_support', 'TARGET=victim'})"
0.1935483870967742,"frozenset({'INTENTION=DFN', 'SENTIMENT=NEG'})"
0.19106699751861042,frozenset({'ROLE=victim_support'})
0.19106699751861042,"frozenset({'domain=Obésité', 'VERBAL_ABUSE=OTH'})"
0.18858560794044665,"frozenset({'domain=Obésité', 'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH'})"
0.18858560794044665,"frozenset({'TARGET=victim', 'HATE=OAG', 'INTENTION=ATK'})"
0.18114143920595532,"frozenset({'TARGET=victim', 'SENTIMENT=NEG', 'HATE=OAG', 'INTENTION=ATK'})"
0.18114143920595532,"frozenset({'mépris / haine=1', 'ROLE=bully_support'})"
0.18114143920595532,"frozenset({'ROLE=conciliator', 'domain=Obésité'})"
0.18114143920595532,"frozenset({'SENTIMENT=NEG', 'domain=Racisme'})"
0.17866004962779156,"frozenset({'mépris / haine=1', 'TARGET=victim'})"
0.17866004962779156,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'TARGET=victim'})"
0.1761786600496278,"frozenset({'CONTEXT=DFN', 'ROLE=bully_support'})"
0.17369727047146402,"frozenset({'domain=Obésité', 'HATE=OAG'})"
0.17121588089330025,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH'})"
0.17121588089330025,"frozenset({'domain=Obésité', 'SENTIMENT=NEG', 'HATE=OAG'})"
0.17121588089330025,"frozenset({'SENTIMENT=NEU', 'INTENTION=OTH', 'HATE=NAG'})"
0.17121588089330025,"frozenset({'SENTIMENT=NEU', 'text_court'})"
0.17121588089330025,"frozenset({'mépris / haine=1', 'VERBAL_ABUSE=OTH'})"
0.17121588089330025,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'ROLE=bully_support'})"
0.17121588089330025,"frozenset({'SENTIMENT=NEU', 'INTENTION=OTH'})"
0.1687344913151365,"frozenset({'TARGET=victim', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.1687344913151365,"frozenset({'CONTEXT=DFN', 'HATE=OAG'})"
0.1687344913151365,"frozenset({'text_court', 'ROLE=bully_support'})"
0.1687344913151365,"frozenset({'HATE=OAG', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.1662531017369727,"frozenset({'VERBAL_ABUSE=OTH', 'ROLE=bully_support'})"
0.1662531017369727,"frozenset({'HATE=OAG', 'ROLE=bully_support', 'TARGET=victim'})"
0.1662531017369727,frozenset({'insulte=1'})
0.1662531017369727,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'HATE=OAG'})"
0.16377171215880892,"frozenset({'ROLE=conciliator', 'HATE=NAG'})"
0.16377171215880892,"frozenset({'text_court', 'HATE=OAG'})"
0.16377171215880892,"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'ROLE=bully_support'})"
0.16377171215880892,"frozenset({'HATE=OAG', 'SENTIMENT=NEG', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.16377171215880892,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'ROLE=bully_support'})"
0.16377171215880892,"frozenset({'CONTEXT=ATK', 'INTENTION=DFN'})"
0.16129032258064516,"frozenset({'SENTIMENT=NEU', 'text_court', 'HATE=NAG'})"
0.16129032258064516,"frozenset({'HATE=OAG', 'SENTIMENT=NEG', 'ROLE=bully_support', 'TARGET=victim'})"
0.1588089330024814,"frozenset({'CONTEXT=DFN', 'HATE=OAG', 'INTENTION=ATK'})"
0.1588089330024814,"frozenset({'SENTIMENT=NEG', 'text_court', 'HATE=OAG'})"
0.1588089330024814,"frozenset({'TARGET=victim', 'SENTIMENT=NEG', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.15632754342431762,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'HATE=OAG', 'INTENTION=ATK'})"
0.15384615384615385,"frozenset({'SENTIMENT=NEU', 'domain=Obésité'})"
0.15384615384615385,"frozenset({'CONTEXT=DFN', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.15384615384615385,"frozenset({'VERBAL_ABUSE=OTH', 'TARGET=victim'})"
0.1513647642679901,"frozenset({'SENTIMENT=NEU', 'domain=Obésité', 'HATE=NAG'})"
0.1513647642679901,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'HATE=OAG', 'INTENTION=ATK'})"
0.1513647642679901,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.1513647642679901,"frozenset({'mépris / haine=1', 'HATE=OAG', 'INTENTION=ATK'})"
0.1513647642679901,"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'TARGET=victim'})"
0.1513647642679901,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'TARGET=victim', 'INTENTION=ATK'})"
0.1513647642679901,"frozenset({'mépris / haine=1', 'TARGET=victim', 'INTENTION=ATK'})"
0.1488833746898263,"frozenset({'insulte=1', 'SENTIMENT=NEG'})"
0.1488833746898263,"frozenset({'CONTEXT=DFN', 'mépris / haine=1'})"
0.1488833746898263,"frozenset({'domain=Obésité', 'CONTEXT=ATK'})"
0.1488833746898263,"frozenset({'mépris / haine=1', 'HATE=OAG', 'TARGET=victim'})"
0.1488833746898263,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'HATE=OAG', 'TARGET=victim'})"
0.14640198511166252,"frozenset({'domain=Obésité', 'ROLE=bully_support'})"
0.14640198511166252,"frozenset({'SENTIMENT=NEG', 'text_court', 'ROLE=bully_support'})"
0.14640198511166252,"frozenset({'VERBAL_ABUSE=OTH', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.14392059553349876,"frozenset({'text_court', 'INTENTION=ATK'})"
0.14392059553349876,"frozenset({'mépris / haine=1', 'domain=Obésité'})"
0.14392059553349876,"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.141439205955335,"frozenset({'mépris / haine=1', 'text_court'})"
0.141439205955335,"frozenset({'domain=Obésité', 'INTENTION=ATK'})"
0.141439205955335,"frozenset({'CONTEXT=DFN', 'mépris / haine=1', 'SENTIMENT=NEG'})"
0.141439205955335,frozenset({'HATE=CAG'})
0.141439205955335,"frozenset({'CONTEXT=DFN', 'TARGET=victim'})"
0.13895781637717122,"frozenset({'CONTEXT=ATK', 'INTENTION=DFN', 'SENTIMENT=NEG'})"
0.13895781637717122,"frozenset({'text_long', 'SENTIMENT=NEG', 'HATE=OAG'})"
0.13895781637717122,"frozenset({'domain=Obésité', 'SENTIMENT=NEG', 'INTENTION=ATK'})"
0.13895781637717122,"frozenset({'HATE=OAG', 'TARGET=victim', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.13895781637717122,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'TARGET=victim'})"
0.13895781637717122,"frozenset({'CONTEXT=ATK', 'HATE=NAG'})"
0.13895781637717122,"frozenset({'text_long', 'HATE=OAG'})"
0.13647642679900746,"frozenset({'VERBAL_ABUSE=OTH', 'text_court'})"
0.13647642679900746,"frozenset({'VERBAL_ABUSE=OTH', 'HATE=OAG', 'INTENTION=ATK'})"
0.13647642679900746,"frozenset({'SENTIMENT=NEG', 'HATE=CAG'})"
0.13647642679900746,"frozenset({'INTENTION=DFN', 'HATE=OAG'})"
0.13647642679900746,"frozenset({'INTENTION=DFN', 'SENTIMENT=NEG', 'HATE=OAG'})"
0.13647642679900746,"frozenset({'CONTEXT=DFN', 'TARGET=victim', 'INTENTION=ATK'})"
0.13399503722084366,"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'text_court'})"
0.13399503722084366,"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'HATE=OAG', 'INTENTION=ATK'})"
0.13399503722084366,"frozenset({'SENTIMENT=NEG', 'text_court', 'INTENTION=ATK'})"
0.13399503722084366,"frozenset({'SENTIMENT=NEG', 'TARGET=victim', 'HATE=OAG', 'INTENTION=ATK', 'ROLE=bully_support'})"
0.13399503722084366,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'TARGET=victim', 'INTENTION=ATK'})"
0.13399503722084366,frozenset({'argot=1'})
0.1315136476426799,"frozenset({'VERBAL_ABUSE=OTH', 'TARGET=victim', 'INTENTION=ATK'})"
0.1315136476426799,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.1315136476426799,"frozenset({'mépris / haine=1', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.1315136476426799,"frozenset({'domain=Obésité', 'INTENTION=DFN'})"
0.12903225806451613,"frozenset({'insulte=1', 'HATE=OAG'})"
0.12903225806451613,"frozenset({'CONTEXT=DFN', 'mépris / haine=1', 'SENTIMENT=NEG', 'INTENTION=ATK'})"
0.12903225806451613,"frozenset({'insulte=1', 'SENTIMENT=NEG', 'HATE=OAG'})"
0.12903225806451613,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH'})"
0.12903225806451613,"frozenset({'CONTEXT=DFN', 'mépris / haine=1', 'INTENTION=ATK'})"
0.12903225806451613,"frozenset({'CONTEXT=DFN', 'VERBAL_ABUSE=OTH'})"
0.12903225806451613,"frozenset({'CONTEXT=DFN', 'domain=Obésité'})"
0.12903225806451613,"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'TARGET=victim', 'INTENTION=ATK'})"
0.12903225806451613,frozenset({'ROLE=bully'})
0.12903225806451613,"frozenset({'HATE=OAG', 'domain=Racisme'})"
0.12655086848635236,"frozenset({'domain=Obésité', 'SENTIMENT=NEG', 'ROLE=bully_support'})"
0.12655086848635236,"frozenset({'HATE=OAG', 'CONTEXT=DFN', 'ROLE=bully_support'})"
0.12655086848635236,"frozenset({'domain=Obésité', 'SENTIMENT=NEG', 'text_court'})"
0.12655086848635236,"frozenset({'ROLE=conciliator', 'domain=Obésité', 'HATE=NAG'})"
0.12655086848635236,"frozenset({'HATE=OAG', 'SENTIMENT=NEG', 'domain=Racisme'})"
0.12406947890818859,"frozenset({'CONTEXT=DFN', 'HATE=OAG', 'TARGET=victim'})"
0.12406947890818859,"frozenset({'mépris / haine=1', 'TARGET=victim', 'HATE=OAG', 'INTENTION=ATK'})"
0.12406947890818859,"frozenset({'text_court', 'domain=Racisme'})"
0.12406947890818859,"frozenset({'HATE=OAG', 'SENTIMENT=NEG', 'CONTEXT=DFN', 'ROLE=bully_support'})"
0.12406947890818859,"frozenset({'mépris / haine=1', 'domain=Obésité', 'SENTIMENT=NEG'})"
0.12406947890818859,"frozenset({'CONTEXT=DFN', 'text_court'})"
0.12406947890818859,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'TARGET=victim', 'HATE=OAG', 'INTENTION=ATK'})"
0.12158808933002481,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'HATE=OAG', 'TARGET=victim'})"
0.12158808933002481,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'INTENTION=ATK'})"
0.12158808933002481,"frozenset({'CONTEXT=DFN', 'VERBAL_ABUSE=OTH', 'INTENTION=ATK'})"
0.12158808933002481,"frozenset({'mépris / haine=1', 'domain=Racisme'})"
0.12158808933002481,"frozenset({'text_court', 'TARGET=victim'})"
0.12158808933002481,"frozenset({'HATE=OAG', 'CONTEXT=DFN', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.12158808933002481,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'INTENTION=ATK'})"
0.12158808933002481,"frozenset({'mépris / haine=1', 'VERBAL_ABUSE=OTH', 'INTENTION=ATK'})"
0.12158808933002481,"frozenset({'text_long', 'mépris / haine=1'})"
0.12158808933002481,"frozenset({'text_long', 'mépris / haine=1', 'SENTIMENT=NEG'})"
0.12158808933002481,"frozenset({'HATE=OAG', 'mépris / haine=1', 'SENTIMENT=NEG', 'ROLE=bully_support'})"
0.12158808933002481,"frozenset({'HATE=OAG', 'mépris / haine=1', 'ROLE=bully_support'})"
0.11910669975186104,"frozenset({'text_long', 'domain=Obésité'})"
0.11910669975186104,"frozenset({'text_long', 'VERBAL_ABUSE=OTH'})"
0.11910669975186104,"frozenset({'text_long', 'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH'})"
0.11910669975186104,"frozenset({'domain=Obésité', 'INTENTION=DFN', 'SENTIMENT=NEG'})"
0.11910669975186104,"frozenset({'CONTEXT=DFN', 'TARGET=victim', 'HATE=OAG', 'INTENTION=ATK'})"
0.11910669975186104,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'HATE=OAG', 'INTENTION=ATK', 'ROLE=bully_support'})"
0.11910669975186104,"frozenset({'ROLE=bully_support', 'domain=Racisme'})"
0.11662531017369727,"frozenset({'HATE=OAG', 'VERBAL_ABUSE=OTH', 'ROLE=bully_support'})"
0.11662531017369727,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'HATE=OAG'})"
0.11662531017369727,"frozenset({'mépris / haine=1', 'VERBAL_ABUSE=OTH', 'HATE=OAG'})"
0.11662531017369727,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'TARGET=victim', 'HATE=OAG', 'INTENTION=ATK'})"
0.11662531017369727,"frozenset({'INTENTION=OTH', 'domain=Obésité'})"
0.11662531017369727,"frozenset({'INTENTION=DFN', 'VERBAL_ABUSE=OTH', 'SENTIMENT=NEG'})"
0.11662531017369727,frozenset({'CONTEXT=OTH'})
0.11662531017369727,"frozenset({'CONTEXT=ATK', 'text_court'})"
0.11662531017369727,"frozenset({'VERBAL_ABUSE=OTH', 'HATE=OAG', 'TARGET=victim'})"
0.11662531017369727,"frozenset({'domain=Obésité', 'VERBAL_ABUSE=OTH', 'INTENTION=ATK'})"
0.11662531017369727,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'text_court'})"
0.11662531017369727,"frozenset({'INTENTION=DFN', 'VERBAL_ABUSE=OTH'})"
0.11662531017369727,"frozenset({'domain=Racisme', 'INTENTION=ATK'})"
0.1141439205955335,"frozenset({'argot=1', 'SENTIMENT=NEG'})"
0.1141439205955335,frozenset({'domain=Homophobie'})
0.1141439205955335,"frozenset({'INTENTION=OTH', 'text_court'})"
0.1141439205955335,"frozenset({'mépris / haine=1', 'insulte=1'})"
0.1141439205955335,"frozenset({'domain=Obésité', 'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'INTENTION=ATK'})"
0.1141439205955335,"frozenset({'text_court', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.1141439205955335,"frozenset({'text_long', 'CONTEXT=ATK'})"
0.1141439205955335,"frozenset({'HATE=OAG', 'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'ROLE=bully_support'})"
0.1141439205955335,"frozenset({'CONTEXT=ATK', 'SENTIMENT=NEG', 'HATE=OAG'})"
0.1141439205955335,"frozenset({'CONTEXT=ATK', 'HATE=OAG'})"
0.1141439205955335,"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'HATE=OAG', 'TARGET=victim'})"
0.1141439205955335,"frozenset({'domain=Obésité', 'SENTIMENT=NEG', 'CONTEXT=ATK'})"
0.1141439205955335,"frozenset({'mépris / haine=1', 'ROLE=bully_support', 'TARGET=victim'})"
0.1141439205955335,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'ROLE=bully_support', 'TARGET=victim'})"
0.1141439205955335,"frozenset({'INTENTION=OTH', 'domain=Obésité', 'HATE=NAG'})"
0.1141439205955335,"frozenset({'SENTIMENT=NEU', 'ROLE=conciliator', 'HATE=NAG'})"
0.1141439205955335,"frozenset({'SENTIMENT=NEU', 'ROLE=conciliator'})"
0.1141439205955335,"frozenset({'INTENTION=OTH', 'text_court', 'HATE=NAG'})"
0.11166253101736973,"frozenset({'CONTEXT=ATK', 'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH'})"
0.11166253101736973,"frozenset({'CONTEXT=ATK', 'VERBAL_ABUSE=OTH'})"
0.11166253101736973,"frozenset({'domain=Racisme', 'HATE=NAG'})"
0.11166253101736973,"frozenset({'SENTIMENT=NEG', 'text_court', 'TARGET=victim'})"
0.11166253101736973,"frozenset({'HATE=NAG', 'ROLE=victim_support'})"
0.11166253101736973,"frozenset({'mépris / haine=1', 'insulte=1', 'SENTIMENT=NEG'})"
0.11166253101736973,"frozenset({'CONTEXT=DFN', 'mépris / haine=1', 'HATE=OAG'})"
0.11166253101736973,"frozenset({'CONTEXT=DFN', 'mépris / haine=1', 'SENTIMENT=NEG', 'HATE=OAG'})"
0.10918114143920596,"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'HATE=CAG'})"
0.10918114143920596,"frozenset({'VERBAL_ABUSE=OTH', 'HATE=CAG'})"
0.10918114143920596,"frozenset({'CONTEXT=DFN', 'ROLE=bully_support', 'TARGET=victim'})"
0.10918114143920596,"frozenset({'TARGET=bully', 'SENTIMENT=NEG'})"
0.10918114143920596,"frozenset({'SENTIMENT=NEG', 'domain=Racisme', 'INTENTION=ATK'})"
0.10918114143920596,"frozenset({'SENTIMENT=NEG', 'HATE=NAG'})"
0.10918114143920596,"frozenset({'domain=Obésité', 'text_court', 'HATE=NAG'})"
0.10918114143920596,frozenset({'TARGET=bully'})
0.10918114143920596,"frozenset({'domain=Obésité', 'VERBAL_ABUSE=OTH', 'HATE=OAG'})"
0.10669975186104218,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'ROLE=bully_support', 'TARGET=victim'})"
0.10669975186104218,"frozenset({'CONTEXT=DFN', 'mépris / haine=1', 'HATE=OAG', 'INTENTION=ATK'})"
0.10669975186104218,"frozenset({'CONTEXT=DFN', 'mépris / haine=1', 'SENTIMENT=NEG', 'HATE=OAG', 'INTENTION=ATK'})"
0.10669975186104218,"frozenset({'ROLE=conciliator', 'SENTIMENT=NEG'})"
0.10669975186104218,"frozenset({'domain=Obésité', 'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'HATE=OAG'})"
0.10669975186104218,"frozenset({'ROLE=bully', 'SENTIMENT=NEG'})"
0.10669975186104218,"frozenset({'VERBAL_ABUSE=OTH', 'ROLE=bully_support', 'TARGET=victim'})"
0.10421836228287841,"frozenset({'SENTIMENT=NEG', 'text_court', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.10421836228287841,"frozenset({'INTENTION=DFN', 'TARGET=bully'})"
0.10421836228287841,"frozenset({'INTENTION=DFN', 'TARGET=bully', 'SENTIMENT=NEG'})"
0.10421836228287841,"frozenset({'CONTEXT=DFN', 'TARGET=victim', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.10421836228287841,"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'ROLE=bully_support', 'TARGET=victim'})"
0.10421836228287841,"frozenset({'CONTEXT=DFN', 'domain=Obésité', 'SENTIMENT=NEG'})"
0.10421836228287841,frozenset({'domain=Religion'})
0.10421836228287841,"frozenset({'ROLE=conciliator', 'text_court'})"
0.10421836228287841,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'domain=Racisme'})"
0.10173697270471464,"frozenset({'domain=Obésité', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.10173697270471464,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'HATE=OAG', 'INTENTION=ATK', 'ROLE=bully_support'})"
0.10173697270471464,"frozenset({'HATE=OAG', 'mépris / haine=1', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.10173697270471464,"frozenset({'text_court', 'HATE=OAG', 'INTENTION=ATK'})"
0.10173697270471464,"frozenset({'HATE=OAG', 'mépris / haine=1', 'ROLE=bully_support', 'TARGET=victim'})"
0.10173697270471464,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'TARGET=victim', 'HATE=OAG', 'ROLE=bully_support'})"
0.10173697270471464,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'TARGET=victim', 'INTENTION=ATK', 'ROLE=bully_support'})"
0.10173697270471464,"frozenset({'SENTIMENT=NEU', 'INTENTION=OTH', 'text_court', 'HATE=NAG'})"
0.10173697270471464,"frozenset({'SENTIMENT=NEU', 'INTENTION=OTH', 'text_court'})"
0.10173697270471464,"frozenset({'text_court', 'TARGET=victim', 'INTENTION=ATK'})"
0.10173697270471464,"frozenset({'text_court', 'HATE=OAG', 'TARGET=victim'})"
0.09925558312655088,"frozenset({'mépris / haine=1', 'insulte=1', 'HATE=OAG'})"
0.09925558312655088,"frozenset({'CONTEXT=ATK', 'ROLE=victim_support'})"
0.09925558312655088,"frozenset({'SENTIMENT=NEG', 'ROLE=victim_support'})"
0.09925558312655088,"frozenset({'HATE=OAG', 'text_court', 'ROLE=bully_support'})"
0.09925558312655088,"frozenset({'text_court', 'ROLE=bully_support', 'TARGET=victim'})"
0.09925558312655088,frozenset({'ROLE=victim'})
0.09925558312655088,"frozenset({'SENTIMENT=NEU', 'domain=Racisme'})"
0.09925558312655088,"frozenset({'ROLE=bully_support', 'SENTIMENT=NEG', 'domain=Racisme'})"
0.09925558312655088,"frozenset({'text_long', 'domain=Obésité', 'SENTIMENT=NEG'})"
0.09925558312655088,"frozenset({'mépris / haine=1', 'insulte=1', 'SENTIMENT=NEG', 'HATE=OAG'})"
0.09925558312655088,"frozenset({'HATE=OAG', 'VERBAL_ABUSE=OTH', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.09925558312655088,"frozenset({'domain=Obésité', 'SENTIMENT=NEG', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.09925558312655088,"frozenset({'HATE=OAG', 'CONTEXT=DFN', 'ROLE=bully_support', 'TARGET=victim'})"
0.0967741935483871,"frozenset({'SENTIMENT=NEG', 'text_court', 'HATE=OAG', 'TARGET=victim'})"
0.0967741935483871,"frozenset({'ROLE=bully', 'INTENTION=ATK'})"
0.0967741935483871,"frozenset({'TARGET=victim', 'VERBAL_ABUSE=OTH', 'HATE=OAG', 'INTENTION=ATK'})"
0.0967741935483871,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'ROLE=bully_support'})"
0.0967741935483871,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG', 'TARGET=victim', 'INTENTION=ATK', 'ROLE=bully_support'})"
0.0967741935483871,"frozenset({'mépris / haine=1', 'TARGET=victim', 'ROLE=bully_support', 'INTENTION=ATK'})"
0.0967741935483871,"frozenset({'SENTIMENT=NEG', 'text_court', 'HATE=OAG', 'INTENTION=ATK'})"
0.0967741935483871,"frozenset({'domain=Obésité', 'ROLE=victim_support'})"
0.0967741935483871,"frozenset({'domain=Racisme', 'TARGET=victim'})"
0.0967741935483871,"frozenset({'CONTEXT=DFN', 'mépris / haine=1', 'ROLE=bully_support'})"
0.0967741935483871,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'text_court'})"
0.0967741935483871,"frozenset({'CONTEXT=DFN', 'SENTIMENT=NEG', 'TARGET=victim', 'HATE=OAG', 'ROLE=bully_support'})"
0.0967741935483871,"frozenset({'CONTEXT=DFN', 'VERBAL_ABUSE=OTH', 'ROLE=bully_support', 'INTENTION=ATK'})"
